ptmin(GeV),ptmax(GeV),y,xsec(pb)
0.5,1,5.0000,9.4679e+04
0.5,1,5.1034,8.5828e+04
0.5,1,5.2069,7.7319e+04
0.5,1,5.3103,6.9207e+04
0.5,1,5.4138,6.1542e+04
0.5,1,5.5172,5.4331e+04
0.5,1,5.6207,4.7608e+04
0.5,1,5.7241,4.1388e+04
0.5,1,5.8276,3.5679e+04
0.5,1,5.9310,3.0491e+04
0.5,1,6.0345,2.5805e+04
0.5,1,6.1379,2.1632e+04
0.5,1,6.2414,1.7937e+04
0.5,1,6.3448,1.4705e+04
0.5,1,6.4483,1.1904e+04
0.5,1,6.5517,9.4923e+03
0.5,1,6.6552,7.4525e+03
0.5,1,6.7586,5.7441e+03
0.5,1,6.8621,4.3263e+03
0.5,1,6.9655,3.1644e+03
0.5,1,7.0690,2.2281e+03
0.5,1,7.1724,1.4990e+03
0.5,1,7.2759,9.5654e+02
0.5,1,7.3793,5.7628e+02
0.5,1,7.4828,3.2244e+02
0.5,1,7.5862,1.6346e+02
0.5,1,7.6897,7.2755e+01
0.5,1,7.7931,2.7145e+01
0.5,1,7.8965,7.3494e+00
0.5,1,8.0000,8.3392e-01
1,1.5,5.0000,1.4965e+04
1,1.5,5.1034,1.3698e+04
1,1.5,5.2069,1.2472e+04
1,1.5,5.3103,1.1279e+04
1,1.5,5.4138,1.0142e+04
1,1.5,5.5172,9.0619e+03
1,1.5,5.6207,8.0339e+03
1,1.5,5.7241,7.0717e+03
1,1.5,5.8276,6.1753e+03
1,1.5,5.9310,5.3486e+03
1,1.5,6.0345,4.5911e+03
1,1.5,6.1379,3.9041e+03
1,1.5,6.2414,3.2862e+03
1,1.5,6.3448,2.7372e+03
1,1.5,6.4483,2.2549e+03
1,1.5,6.5517,1.8343e+03
1,1.5,6.6552,1.4722e+03
1,1.5,6.7586,1.1620e+03
1,1.5,6.8621,9.0051e+02
1,1.5,6.9655,6.8021e+02
1,1.5,7.0690,4.9824e+02
1,1.5,7.1724,3.5054e+02
1,1.5,7.2759,2.3467e+02
1,1.5,7.3793,1.4778e+02
1,1.5,7.4828,8.5910e+01
1,1.5,7.5862,4.5042e+01
1,1.5,7.6897,2.0674e+01
1,1.5,7.7931,7.9227e+00
1,1.5,7.8965,2.1380e+00
1,1.5,8.0000,1.9634e-01
1.5,2,5.0000,1.5387e+04
1.5,2,5.1034,1.4031e+04
1.5,2,5.2069,1.2716e+04
1.5,2,5.3103,1.1457e+04
1.5,2,5.4138,1.0256e+04
1.5,2,5.5172,9.1188e+03
1.5,2,5.6207,8.0429e+03
1.5,2,5.7241,7.0425e+03
1.5,2,5.8276,6.1160e+03
1.5,2,5.9310,5.2658e+03
1.5,2,6.0345,4.4920e+03
1.5,2,6.1379,3.7953e+03
1.5,2,6.2414,3.1725e+03
1.5,2,6.3448,2.6228e+03
1.5,2,6.4483,2.1421e+03
1.5,2,6.5517,1.7271e+03
1.5,2,6.6552,1.3715e+03
1.5,2,6.7586,1.0710e+03
1.5,2,6.8621,8.1768e+02
