# FONLL heavy quark hadroproduction cross section
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# beauty to B to J_Psi meson
# BR(q->meson) = 0.7
# BR(B->J/psi) = 0.0116
# theta_min, theta_max, p_min[GeV], p_max[GeV], xsec[pb]
2.262e-03,3.932e-03,2.210e+02,2.543e+02,9.468e+04
2.040e-03,3.546e-03,2.451e+02,2.820e+02,8.583e+04
1.839e-03,3.197e-03,2.719e+02,3.128e+02,7.732e+04
1.658e-03,2.883e-03,3.015e+02,3.468e+02,6.921e+04
1.495e-03,2.600e-03,3.344e+02,3.846e+02,6.154e+04
1.349e-03,2.344e-03,3.708e+02,4.266e+02,5.433e+04
1.216e-03,2.114e-03,4.112e+02,4.731e+02,4.761e+04
1.096e-03,1.906e-03,4.560e+02,5.246e+02,4.139e+04
9.887e-04,1.719e-03,5.057e+02,5.818e+02,3.568e+04
8.915e-04,1.550e-03,5.608e+02,6.452e+02,3.049e+04
8.039e-04,1.398e-03,6.220e+02,7.155e+02,2.580e+04
7.249e-04,1.260e-03,6.897e+02,7.935e+02,2.163e+04
6.536e-04,1.136e-03,7.650e+02,8.800e+02,1.794e+04
5.894e-04,1.025e-03,8.483e+02,9.759e+02,1.470e+04
5.315e-04,9.240e-04,9.408e+02,1.082e+03,1.190e+04
4.793e-04,8.332e-04,1.043e+03,1.200e+03,9.492e+03
4.321e-04,7.513e-04,1.157e+03,1.331e+03,7.452e+03
3.897e-04,6.775e-04,1.283e+03,1.476e+03,5.744e+03
3.514e-04,6.109e-04,1.423e+03,1.637e+03,4.326e+03
3.169e-04,5.509e-04,1.578e+03,1.815e+03,3.164e+03
2.857e-04,4.967e-04,1.750e+03,2.013e+03,2.228e+03
2.576e-04,4.479e-04,1.941e+03,2.233e+03,1.499e+03
2.323e-04,4.039e-04,2.152e+03,2.476e+03,9.565e+02
2.095e-04,3.642e-04,2.387e+03,2.746e+03,5.763e+02
1.889e-04,3.284e-04,2.647e+03,3.045e+03,3.224e+02
1.703e-04,2.961e-04,2.935e+03,3.377e+03,1.635e+02
1.536e-04,2.670e-04,3.256e+03,3.745e+03,7.275e+01
1.385e-04,2.408e-04,3.610e+03,4.153e+03,2.714e+01
1.249e-04,2.171e-04,4.003e+03,4.606e+03,7.349e+00
1.126e-04,1.958e-04,4.440e+03,5.108e+03,8.339e-01
4.361e-03,5.579e-03,2.293e+02,2.689e+02,1.496e+04
3.932e-03,5.030e-03,2.543e+02,2.982e+02,1.370e+04
3.546e-03,4.536e-03,2.820e+02,3.307e+02,1.247e+04
3.197e-03,4.090e-03,3.128e+02,3.667e+02,1.128e+04
2.883e-03,3.688e-03,3.469e+02,4.067e+02,1.014e+04
2.600e-03,3.326e-03,3.846e+02,4.510e+02,9.062e+03
2.344e-03,2.999e-03,4.266e+02,5.002e+02,8.034e+03
2.114e-03,2.704e-03,4.731e+02,5.547e+02,7.072e+03
1.906e-03,2.438e-03,5.247e+02,6.152e+02,6.175e+03
1.719e-03,2.199e-03,5.818e+02,6.822e+02,5.349e+03
1.550e-03,1.983e-03,6.453e+02,7.566e+02,4.591e+03
1.398e-03,1.788e-03,7.155e+02,8.390e+02,3.904e+03
1.260e-03,1.612e-03,7.936e+02,9.305e+02,3.286e+03
1.136e-03,1.454e-03,8.800e+02,1.032e+03,2.737e+03
1.025e-03,1.311e-03,9.760e+02,1.144e+03,2.255e+03
9.240e-04,1.182e-03,1.082e+03,1.269e+03,1.834e+03
8.331e-04,1.066e-03,1.200e+03,1.407e+03,1.472e+03
7.513e-04,9.611e-04,1.331e+03,1.561e+03,1.162e+03
6.774e-04,8.666e-04,1.476e+03,1.731e+03,9.005e+02
6.109e-04,7.814e-04,1.637e+03,1.920e+03,6.802e+02
5.508e-04,7.046e-04,1.816e+03,2.129e+03,4.982e+02
4.967e-04,6.354e-04,2.013e+03,2.361e+03,3.505e+02
4.479e-04,5.729e-04,2.233e+03,2.618e+03,2.347e+02
4.039e-04,5.166e-04,2.476e+03,2.903e+03,1.478e+02
3.641e-04,4.658e-04,2.746e+03,3.220e+03,8.591e+01
3.284e-04,4.201e-04,3.045e+03,3.571e+03,4.504e+01
2.961e-04,3.788e-04,3.377e+03,3.960e+03,2.067e+01
2.670e-04,3.416e-04,3.745e+03,4.392e+03,7.923e+00
2.408e-04,3.080e-04,4.153e+03,4.870e+03,2.138e+00
2.171e-04,2.777e-04,4.606e+03,5.401e+03,1.963e-01
6.186e-03,6.943e-03,2.425e+02,2.881e+02,1.539e+04
5.579e-03,6.261e-03,2.689e+02,3.195e+02,1.403e+04
5.030e-03,5.645e-03,2.982e+02,3.543e+02,1.272e+04
4.536e-03,5.090e-03,3.307e+02,3.929e+02,1.146e+04
