,epsilon,mass,n_expected
0,1e-07,0.01,6.266007881403428e-05
1,1.122018454301963e-07,0.01,9.903400947057485e-05
2,1.2589254117941662e-07,0.01,0.00015745109759461102
3,1.4125375446227526e-07,0.01,0.00024774626628884717
4,1.584893192461111e-07,0.01,0.0003956763113508705
5,1.7782794100389192e-07,0.01,0.0006245166624018013
6,1.9952623149688747e-07,0.01,0.0009954675645138156
7,2.2387211385683332e-07,0.01,0.0015564182227921107
8,2.5118864315095717e-07,0.01,0.002514112126683817
9,2.8183829312644433e-07,0.01,0.003931378657301514
10,3.1622776601683665e-07,0.01,0.006247855762233479
11,3.548133892335739e-07,0.01,0.009992418275827818
12,3.981071705534953e-07,0.01,0.015820353381031913
13,4.4668359215096073e-07,0.01,0.02499609534271532
14,5.011872336272694e-07,0.01,0.03936701603971526
15,5.623413251903456e-07,0.01,0.06239007110746011
16,6.309573444801892e-07,0.01,0.09832010206098132
17,7.07945784384133e-07,0.01,0.1570211572942245
18,7.943282347242756e-07,0.01,0.2478775071324733
19,8.912509381337386e-07,0.01,0.3957489234848945
20,9.99999999999992e-07,0.01,0.6281106529223296
21,1.1220184543019537e-06,0.01,0.9969607669599584
22,1.258925411794156e-06,0.01,1.5837905107957146
23,1.412537544622741e-06,0.01,2.4838800054046626
24,1.584893192461098e-06,0.01,3.9862187496103156
25,1.7782794100389047e-06,0.01,6.208620390275586
26,1.9952623149688584e-06,0.01,9.894219020273866
27,2.2387211385683147e-06,0.01,15.782403050200378
28,2.5118864315095514e-06,0.01,24.708156153232547
29,2.8183829312644204e-06,0.01,38.98023679031521
30,3.1622776601683407e-06,0.01,61.65768960154802
31,3.5481338923357097e-06,0.01,96.5932145691944
32,3.98107170553492e-06,0.01,152.9449561944212
33,4.466835921509571e-06,0.01,242.28277575015477
34,5.011872336272653e-06,0.01,376.56671453445796
35,5.62341325190341e-06,0.01,596.5799046712701
36,6.30957344480184e-06,0.01,947.4032217961335
37,7.079457843841272e-06,0.01,1472.6528669722986
38,7.943282347242691e-06,0.01,2283.4333640460623
39,8.912509381337314e-06,0.01,3549.303401349543
40,9.999999999999836e-06,0.01,5469.396359481256
41,1.1220184543019445e-05,0.01,8377.618721787032
42,1.2589254117941456e-05,0.01,12625.149473769156
43,1.4125375446227294e-05,0.01,18993.883628398704
44,1.584893192461085e-05,0.01,27841.480187807865
45,1.77827941003889e-05,0.01,40558.0757704178
46,1.995262314968842e-05,0.01,57386.42250948474
47,2.2387211385682966e-05,0.01,79846.5147381165
48,2.5118864315095307e-05,0.01,107078.69823920951
49,2.8183829312643973e-05,0.01,138524.4317916018
50,3.1622776601683145e-05,0.01,167794.08528950062
51,3.548133892335681e-05,0.01,194114.42986789162
52,3.981071705534888e-05,0.01,212244.64555546496
53,4.4668359215095345e-05,0.01,215531.97260220355
54,5.011872336272612e-05,0.01,203465.23058909748
55,5.623413251903364e-05,0.01,175784.4013901021
56,6.309573444801788e-05,0.01,140840.22134680572
57,7.079457843841215e-05,0.01,104274.49593632658
58,7.943282347242627e-05,0.01,73472.85588141569
59,8.91250938133724e-05,0.01,46606.8292254671
60,9.999999999999755e-05,0.01,26775.996557665065
61,0.00011220184543019355,0.01,15134.473797910554
62,0.00012589254117941352,0.01,7943.7107498912455
63,0.0001412537544622718,0.01,3526.1143007557894
64,0.0001584893192461072,0.01,1301.5196994647504
65,0.00017782794100388755,0.01,451.9685264608685
66,0.00019952623149688256,0.01,120.67043750537533
67,0.00022387211385682782,0.01,39.219457620577614
68,0.000251188643150951,0.01,9.151498218679986
69,0.0002818382931264374,0.01,1.517503118441317
70,0.0003162277660168289,0.01,0.017039565799446852
71,0.00035481338923356513,0.01,0.00011191448015210018
72,0.00039810717055348553,0.01,5.0249489314333985e-05
73,0.00044668359215094977,0.01,6.394915976398185e-08
74,0.0005011872336272571,0.01,6.067076175962439e-11
75,0.0005623413251903319,0.01,8.383250229590986e-12
