epsilon,mass,n_expected
1e-07,0.01,2.900732652854258e-05
1.1497569953977356e-07,0.01,5.069101884498287e-05
1.3219411484660288e-07,0.01,8.858374539772204e-05
1.519911082952933e-07,0.01,0.00015480203411809233
1.747528400007683e-07,0.01,0.0002705196186565669
2.009233002565046e-07,0.01,0.00047273763849592305
2.310129700083158e-07,0.01,0.0008261153388272174
2.656087782946684e-07,0.01,0.0014436435910140208
3.0538555088334124e-07,0.01,0.002522770230933823
3.5111917342151277e-07,0.01,0.004408524972005928
4.037017258596558e-07,0.01,0.007703820106399349
4.641588833612782e-07,0.01,0.01346217667786253
5.336699231206313e-07,0.01,0.02352445557140313
6.135907273413176e-07,0.01,0.041107158284594915
7.054802310718645e-07,0.01,0.07183016116916026
8.111308307896872e-07,0.01,0.12551192945457051
9.326033468832199e-07,0.01,0.21930490177464743
1.0722672220103232e-06,0.01,0.38317050064684915
1.232846739442066e-06,0.01,0.669437257915617
1.4174741629268049e-06,0.01,1.1694817272195477
1.6297508346206435e-06,0.01,2.0428276645925387
1.873817422860383e-06,0.01,3.567879600922024
2.1544346900318865e-06,0.01,6.2303089819648
2.477076355991714e-06,0.01,10.876884252904413
2.848035868435805e-06,0.01,18.98284941573023
3.2745491628777315e-06,0.01,33.11585543423636
3.764935806792471e-06,0.01,57.73907004369832
4.328761281083061e-06,0.01,100.59716524330528
4.977023564332114e-06,0.01,175.09844132981513
5.72236765935022e-06,0.01,304.3867120062064
6.579332246575683e-06,0.01,528.2508474027629
7.564633275546291e-06,0.01,914.7347601026456
8.697490026177835e-06,0.01,1579.3876511191445
1e-05,0.01,2716.6081658975695
1.1497569953977357e-05,0.01,4649.41571251949
1.3219411484660286e-05,0.01,7905.736273590552
1.5199110829529332e-05,0.01,13329.470582854065
1.747528400007683e-05,0.01,22229.969608837215
2.0092330025650458e-05,0.01,36558.19336598039
2.310129700083158e-05,0.01,59063.877922078165
2.656087782946684e-05,0.01,93331.25525316497
3.053855508833412e-05,0.01,143526.8120007657
3.511191734215127e-05,0.01,213682.17418344464
4.03701725859655e-05,0.01,306488.93624620384
4.641588833612782e-05,0.01,421960.7562970617
5.3366992312063123e-05,0.01,556686.8767316903
6.135907273413175e-05,0.01,704156.7575738005
7.054802310718646e-05,0.01,855596.8798641225
8.111308307896872e-05,0.01,1000258.5362091805
9.326033468832199e-05,0.01,1125383.4672153536
0.00010722672220103231,0.01,1217161.1482636658
0.0001232846739442066,0.01,1262778.1879972024
0.00014174741629268049,0.01,1252527.0746173176
0.0001629750834620645,0.01,1181602.1766310085
0.0001873817422860385,0.01,1051925.3879985362
0.00021544346900318845,0.01,874032.8827515597
0.0002477076355991711,0.01,667941.3727102417
0.0002848035868435802,0.01,460862.24858987186
0.00032745491628777284,0.01,280465.2287883171
0.00037649358067924675,0.01,145937.26651086326
0.00043287612810830614,0.01,62119.38231646295
0.0004977023564332114,0.01,20287.007188747128
0.0005722367659350221,0.01,4646.098484297102
0.0006579332246575682,0.01,661.2596153505609
0.000756463327554629,0.01,49.93390619802115
0.0008697490026177834,0.01,1.629597541425256
0.001,0.01,0.017607298797686247
0.0011497569953977356,0.01,4.442934550693075e-05
0.0013219411484660286,0.01,1.6506285366732586e-08
0.0015199110829529332,0.01,4.890600443909497e-13
0.001747528400007683,0.01,5.118542083549905e-19
0.002009233002565046,0.01,6.434004445668688e-27
0.002310129700083158,0.01,2.330913702958387e-37
0.0026560877829466894,0.01,3.685252882584892e-51
0.003053855508833419,0.01,2.0947234689738747e-69
0.0035111917342151347,0.01,1.576823332754289e-93
0.004037017258596558,0.01,1.9971358609885234e-125
0.004641588833612782,0.01,1.3235976173523003e-167
0.005336699231206312,0.01,2.223462336187878e-223
0.006135907273413176,0.01,3.9330523106717574e-297
0.007054802310718645,0.01,0.0
0.008111308307896872,0.01,0.0
0.0093260334688322,0.01,0.0
0.010722672220103232,0.01,0.0
